Company name,Email,E-Mail-Typ,Phone,URL 1,Address,Stadt,Bundesland
110Intensivpflege GmbH,kontakt@110-intensivpflege.com,Sammelpostfach,0221 12098110,,"Theodor-Heuss-Ring 23, 50668 Köln",Köln,Nordrhein-Westfalen
1A Pflegedienst Franziska Heller,info@1a-pflege-heller.de,Sammelpostfach,03443 3768871,,"Schillerstr. 14, 06667 Weißenfels",Weißenfels,Sachsen-Anhalt
1A Pflegedienst GmbH Ambulanter Pflegedienst,,,,,"Königsbruch 1, 66117 Saarbrücken",Saarbrücken,Saarland
1a  Pflegedienst GmbH  Co. KG,info@1a-pflegedienst.com,Sammelpostfach,02372 557550,,"Deilinghoferstr. 2, 58675 Hemer",Hemer,Nordrhein-Westfalen
1A Pflegedienst. Intensivpflegedienst und Heimbeatmung GmbH,info@1apflegedienst.de,Sammelpostfach,0511 56967707,http://www.1apflegedienst.de/,"Verdener Platz 2, 30419 Hannover",Hannover,Niedersachsen
1a Pflege Mannheim GmbH Home Instead Mannheim  Ambulanter Pflegedienst,,,0621 92100200,,"Spelzenstr. 5, 68167 Mannheim",Mannheim,Baden-Württemberg
1a Pflege Pforzheim GmbH Home Instead Pforzheim  Pflegedienst,,,07231 2077330,,"Bertholdstr. 9, 75177 Pforzheim",Pforzheim,Baden-Württemberg
1a-Pflege UG (haftungsbeschränkt)  Ambulanter Pflegedienst,,,0800 8888662,,"Römersteinstr. 9, 72766 Reutlingen",Reutlingen,Baden-Württemberg
1ER FÜR ALLE Ihr Pflegedienst Tahiraj Liridon Tahiraj Anduena,,,,,"Große Pützgasse 11, 56599 Leutesdorf",Leutesdorf,Rheinland-Pfalz
1 zu 1 Pflege  Flemming GmbH,olgaflemming@gmx.de,Persönlich,05242 407178,,"Fontainestraße 2, 33378 Rheda-Wiedenbrück",Rheda-Wiedenbrück,Nordrhein-Westfalen
24 Aktiv Ambulantes Alten- und Krankenpflegezentrum,info@Pflegedienst-24aktiv.de,Sammelpostfach,02373 3953684,,"Danzigstr. 7, 58708 Menden",Menden,Nordrhein-Westfalen
24h Intensivpflege Mechri/Amirov UG (haftungsbeschränkt),24h-intensivpflege@gmx.de,Persönlich,04381 4160674,,"Gildenplatz 3, 24321 Lütjenburg",Lütjenburg,Schleswig-Holstein
24h Pflegeteam Paech GmbH,kontakt@ppi24.de,Sammelpostfach,02291 9289860,,"Hochstr. 7, 51545 Waldbröl",Waldbröl,Nordrhein-Westfalen
24 Intensiv-Home-Care GmbH,,,0173 9712534,,"Goethestr. 29, 58300 Wetter",Wetter,Nordrhein-Westfalen
"2P Ambulant GmbH
Ambulanter Pflegedienst",info@2p-ambulant.de,Sammelpostfach,039203 649572,,"Steinfeldstraße 3, 39179 Barleben",Barleben,Sachsen-Anhalt
360° - Die Pflegemanufaktur GmbH,,,,,"Hauptstr. 92, 74821 Mosbach",Mosbach,Baden-Württemberg
365° Pflegezentrum Häusl. Kranken- und Fachpflege Marianne Weiß GmbH,info@365grad.net,Sammelpostfach,02191 592190,,"Alleestr. 68, 42853 Remscheid",Remscheid,Nordrhein-Westfalen
3D Der Pflegedienst,info@3D-pflegedienst.de,Sammelpostfach,02236 9495313,,"Bahnhofstr. 2, 50389 Wesseling",Wesseling,Nordrhein-Westfalen
3W Ambulante Pflege Intensiv,intensiv@3Wkonzepter.de,Persönlich,0331 58565696,http://www.3wkonzepter.de,"Französische Str. 19, 14467 Potsdam",Potsdam,Brandenburg
4ife Pflegedienst Kornelia Zymla,info@4ife.de,Sammelpostfach,0202 37322020,,"Hackestr. 10, 42349 Wuppertal",Wuppertal,Nordrhein-Westfalen
5 Sterne Ambulanter Pflegedienst GbR,,,0711 50443635,,"Silberburgstr. 126, 70176 Stuttgart",Stuttgart,Baden-Württemberg
5 Täler Pflege Snjezana Danilovic  Pflegedienst,s.danilovic@5-taeler-pflege.de,Persönlich,07331 4579686,,"Stuttgarter Str. 31, 73312 Geislingen",Geislingen,Baden-Württemberg
a+ Intensivpflege gGmbH,,,07021 9473240,,"Otto-Mörike-Str. 1, 73230 Kirchheim",Kirchheim,Baden-Württemberg
A + K Pflegepartner e. V. Gaby & Oliver Spang,GabyStern@aol.com,Persönlich,02252 834024,,"Moselstr. 33, 53909 Zülpich",Zülpich,Nordrhein-Westfalen
A + R Pflegende Hände GmbH,info@pflege-ar.de,Sammelpostfach,05731 4999175,http://www.pflege-ar.de,"Detmolder Straße 41, 32545 Bad Oeynhausen",Bad Oeynhausen,Nordrhein-Westfalen
A+S Häusliche Krankenpflege Mettmann GmbH,post@pflegedienst-mettmann.de,Sammelpostfach,02104 2079978,,"Benninghofer Weg 21, 40822 Mettmann",Mettmann,Nordrhein-Westfalen
A2 Ambulanter Pflegedienst GmbH,info@a2pflegedienst.de,Sammelpostfach,089 45359493,http://www.a2pflegedienst.de,"Oetztaler Str. 1 , 81373 München",München,Bayern
"AABK Ambulante Alten-, Behinderten- und Krankenpflege GmbH",info@aabk.de,Sammelpostfach,0211 59817524,,"Niederrheinstr. 23, 40474 Düsseldorf",Düsseldorf,Nordrhein-Westfalen
Aachener ambulante Pflegedienste Sonnenquelle GmbH,info@pflegedienst-sonnenquelle.de,Sammelpostfach,0241 99773391,HTTPs://www.Pflegedienst-Sonnenquelle.de,"Kronenberg 155, 52074 Aachen",Aachen,Nordrhein-Westfalen
Aachener Pflegeservice,info@aachener-pflegeservice.de,Sammelpostfach,0241 1890811,,"Sittarder Str. 31, 52078 Aachen",Aachen,Nordrhein-Westfalen
AAD Ambulanter Altenkranken- pflege Dienst Inh. Yühong Jähner,aad.pflegedienst2@t-online.de,Persönlich,06123 790893,https://www.aad-pflege.de/,"Wörthstr. 12, 65343 Eltville",Eltville,Hessen
AAI Augsburger Außerklinische Intensivpflege GmbH,info@gemeinsam24.org,Sammelpostfach,0821 45095570,http://www.gemeinsam24.org,"Bürgermeister-Wegele-Str. 6 , 86167 Augsburg",Augsburg,Bayern
AAK Ambulante Alten- und Krankenpflege GmbH,PflegedienstAAK@AOL.com,Persönlich,0221 371180,,"Markusstr. 46, 50968 Köln",Köln,Nordrhein-Westfalen
aalCare GmbH   & Co. KG Ambulanter Pflege- und Betreuungsdienst,,,07361 9754710,,"Kocherstr. 2, 73432 Aalen",Aalen,Baden-Württemberg
AAP Allgemeine Ansgar  Pflegedienste GmbH,info@aap-gera.de,Sammelpostfach,0365 552222072,,"Kurt-Keicher-Straße 142, 07546 Gera",Gera,Thüringen
AA Pflegedienst GmbH,,,,,"Borsigallee 37, 60388 Frankfurt",Frankfurt,Hessen
Aariana Pflegedienst GmbH,info@aariana-pflegedienst.de,Sammelpostfach,05139 9577760,,"Ehlbeek 13, 30938 Burgwedel",Burgwedel,Niedersachsen
Aaronitas GbR,info@aaronitas.de,Sammelpostfach,0921 15127100,http://www.aaronitas.de,"Stuckbergstrasse 1 , 95448 Bayreuth",Bayreuth,Bayern
Aaron Kranken- und Intensivpflege GmbH & Co.KG,mobile@bonitas.de,Persönlich,0221 8809609,,"Buchforststraße 23, 51103 Köln",Köln,Nordrhein-Westfalen
AA u. K Pflege GmbH,,,0231 430044,,"Alfred-Trappen-Str. 9, 44263 Dortmund",Dortmund,Nordrhein-Westfalen
ABC - Ambulante Gesundheits- u. Krankenpflegegesellschaft mbH,,,02324 594922,,"Rauendahlstr. 1, 45529 Hattingen",Hattingen,Nordrhein-Westfalen
ABC Ambulanter Pflege- und Betreuungsdienst Curatio GmbH  Ambulanter Pflegedienst,,,0721 8303800,,"Daimlerstr. 5 a, 76185 Karlsruhe",Karlsruhe,Baden-Württemberg
ABC Curatio GmbH   Ambulanter Dienst,verwaltung@abc-sinzheim.de,Sammelpostfach,07221 982307,http://www.abc-sinzheim.de,"Pfarrer-Kiefer-Weg 2, 76547 Sinzheim",Sinzheim,Baden-Württemberg
ab cor Senioren- und Familienbetreuung GmbH,info@herzliche-pflege.de,Sammelpostfach,02238 4618850,,"Industriestr. 1, 50259 Pulheim",Pulheim,Nordrhein-Westfalen
ABC Pflegedienst Claudia Thomas & Kollegen GbR,SERVICE@ABC-Pflegedienst.de,Sammelpostfach,0241 1691418,,"Alt-Haarener Str. 120, 52080 Aachen",Aachen,Nordrhein-Westfalen
ABC Pflegedienst GmbH & Co.KG,,,040 18181855,,"Am Stadtrand 54, 22047 Hamburg",Hamburg,Hamburg
ABC Pflegeteam GmbH & Co.KG,info@abcpflegeteam.de,Sammelpostfach,040 70106569,,"Von-Bronsart-Straße 14, 22885 Barsbüttel",Barsbüttel,Schleswig-Holstein
ABC Pflegeversorgungszentrum,,,0202 478650,,"Hauptstr. 81, 42349 Wuppertal",Wuppertal,Nordrhein-Westfalen
abc-Sozialstation Anselm Oenning,,,02366 32058,,"Waldstr. 6, 45699 Herten",Herten,Nordrhein-Westfalen
Abeja Pflege mit Herz Anka Raiber und Carolin Schmidt GbR,abeja-Pflege@gmx.de,Persönlich,0179 5448188,,"Trödlerstraße 2, 99707 Kyffhäuserland",Kyffhäuserland,Thüringen
ABELiA Ambulanter Pflegedienst Alpha-Team GmbH,,,069 80085630,,"Cranachstr. 24, 60596 Frankfurt",Frankfurt,Hessen
Abella Pflege GmbH,info@abella-pflege.de,Sammelpostfach,02361 9378783,,"Auf den Flachsbeckwiesen 31, 45659 Recklinghausen",Recklinghausen,Nordrhein-Westfalen
Abendsonne - Medizinischer Pflegedienst GbR Omar Alwan Saeed Moradi,,,06252 995418,,"Vogelsbergstr. 2, 64646 Heppenheim",Heppenheim,Hessen
Abendsonne Pflegedienst GmbH,victoria.richter@abendsonne24.de,Persönlich,0341 9137663,,"Prinz-Eugen-Straße 31, 04277 Leipzig",Leipzig,Sachsen
Abendstern Ambulanter Alten- und Krankenpflegedienst UG (haftungsbeschränkt),,,0661 67904949,,"Am Ziegelberg 3 a , 36100 Petersberg",Petersberg,Hessen
Abendstern Fachpflege GmbH,info@Abendstern-Fachpflege.de,Sammelpostfach,02173 2028082,,"Am Wald 20, 40789 Monheim",Monheim,Nordrhein-Westfalen
Aberdeen Pflegedienst GmbH,,,0611 4111805,,"Rheinstr. 30 - 32, 65185 Wiesbaden",Wiesbaden,Hessen
ABH Alten- und Behinderten Hilfsdienst GmbH,ABH-Pflegedienst@gmx.de,Persönlich,0511 341010,http://www.abh-pflegedienst.net,"Vahrenwalder Straße 4, 30165 Hannover",Hannover,Niedersachsen
"ABH Sozialstation
Olaf Ziem",abh-ziem@t-online.de,Persönlich,03928 7699845,,"Breite Weg 55, 39218 Schönebeck",Schönebeck,Sachsen-Anhalt
ABH Süderelbe GmbH,,,040 81977380,,"Groot Enn 5, 21149 Hamburg",Hamburg,Hamburg
ab imo pectore Senioren- und Familienbetreuung GmbH,franz.walch@homeinstead.de,Persönlich,02238 8454520,,"Alte Kölner Str. 56, 50259 Pulheim",Pulheim,Nordrhein-Westfalen
A bis Z Pflegedienst GmbH,info@abisz-pflegedienst.de,Sammelpostfach,05341 2230135,,"Bohlweg 28, 38259 Salzgitter",Salzgitter,Niedersachsen
ab medi service Carmen Rösler,ab.medi.service@t-online.de,Persönlich,03322 241581,http://www.abmediservice.de/,"Straße der Einheit 102, 14612 Falkensee",Falkensee,Brandenburg
AB OVO Pflegeservice  Inh. Katja Löhnig,ab-ovo@arcor.de,Persönlich,0371 28354046,,"Wolgograder Allee 74, 09123 Chemnitz",Chemnitz,Sachsen
A & B Pflege-Team GmbH,info@ab-pflegeteam.de,Sammelpostfach,08239 1055,,"Rathausstraße 17a , 86863 Langenneufnach",Langenneufnach,Bayern
A &B Pflege- und WundTeam Ambulanter Pflegedienst,,,0561 76628238,,"Königsplatz 59, 34117 Kassel",Kassel,Hessen
Abraham Pflege GmbH Ambulanter Pflegedienst,,,,,"Linzer Str. 1, 55246 Mainz-Kostheim",Mainz-Kostheim,Rheinland-Pfalz
ABS Pflegedienst GmbH,info@abspflege.de,Sammelpostfach,01575 3594325,,"Wittelsbacherstr. 38 , 83022 Rosenheim",Rosenheim,Bayern
A.B.T. Pflegedienst Josi Fellehner GmbH,abtpflegeteam@freenet.de,Persönlich,0241 4009222,,"Lukasstr. 27, 52070 Aachen",Aachen,Nordrhein-Westfalen
ABUCURA ambulantes Pflegezentrum GmbH,info@abucura-pflege.de,Sammelpostfach,0202 31772640,,"Hahnerberger Str. 137, 42349 Wuppertal",Wuppertal,Nordrhein-Westfalen
Abyssinia Pflegedienst Aryam Solomon,,,069 7394193,,"Bonameser Str. 44, 60433 Frankfurt",Frankfurt,Hessen
ABZ Ambulantes Betreuungszentrum GmbH,abz@umalleskuemmerkaefer.de,Persönlich,030 568208888,http://www.umalleskuemmerkaefer.de,"Werbellinstr. 42, 12053 Berlin",Berlin,Berlin
acasa ambulante Pflege  GmbH & Co. KG,verwaltung@acasa-pflege.de,Sammelpostfach,09191 9762600,http://www.acasa-pflege.de,"In der Büg 12 , 91330 Eggolsheim",Eggolsheim,Bayern
Achalm Pflege Service GmbH   Ambulanter Pflegedienst,,,,,"Oskar-Kalbfell-Platz 8, 72764 Reutlingen",Reutlingen,Baden-Württemberg
Achatius Pflegeteam GmbH,,,0345 56328921,,"Grenzstr. 43, 06112 Halle",Halle,Sachsen-Anhalt
Achat Pflegedienst UG (haftungsbeschränkt),,,030 37588933,,"Reginhardstr. 34, 13409 Berlin",Berlin,Berlin
AC Lebensfreude GmbH,,,0340 85072062,,"Kochstedter Kreisstr. 11, 06847 Dessau-Roßlau",Dessau-Roßlau,Sachsen-Anhalt
ACM Ambulanter Pflegedienst GmbH & C.KG,,,040 75694353,,"Bekassinenau 87, 22147 Hamburg",Hamburg,Hamburg
Actiovita Rhein-Main GmbH Ambulanter Pflegedienst,,,06196 772757,,"Ludwig-Erhard-Str. 16-18, 65760 Eschborn",Eschborn,Hessen
ACTIV 24 GmbH - Ihr Gesundheits-  und Pflegedienst,info@activ24.de,Sammelpostfach,0375 450051,,"Scheringerstraße 1, 08056 Zwickau",Zwickau,Sachsen
activamed Pflegedienst GmbH,info@activamed.de,Sammelpostfach,02241 39860,,"Adolf Friedrich Str. 2, 53840 Troisdorf",Troisdorf,Nordrhein-Westfalen
Activa - Private Pflege Korbinian Roth,,,06131 9720757,,"An der Markthalle 3, 55127 Mainz",Mainz,Rheinland-Pfalz
Activ Daheim Michael,info@activ-daheim.de,Sammelpostfach,0351 47583904,,"Lockwitzer Straße 15, 01219 Dresden",Dresden,Sachsen
Active Care GmbH,joachim.huelsen@homecare-alltagshelfer.de,Persönlich,0214 31201020,,"Mülheimerstr. 4-6, 51375 Leverkusen",Leverkusen,Nordrhein-Westfalen
"active care 
Ihr mobiler Pflegedienst
Diana Busch",,,0345 68596696,,"Grenzstr. 26 b, 06112 Halle",Halle,Sachsen-Anhalt
Activpflege Joachim Frind,,,07529 912662,,"Tannerstr. 4, 88267 Vogt",Vogt,Baden-Württemberg
Activ Pflege mit Herz,,,069 558050,,"Mörfelder Landstr. 225, 60598 Frankfurt",Frankfurt,Hessen
ACTIV PFLEGESERVICE GmbH Ihr Pflegedienst in Wiesbaden,,,0611 2051581,,"Goerdelerstr. 49 b, 65197 Wiesbaden",Wiesbaden,Hessen
